"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBMS3",0,-1.87455428634141,0.589,0.95,0
"OSBPL10",0,-1.73240393128367,0.657,0.974,0
"SMARCC1",0,-1.54499745249391,0.687,0.969,0
"PTPRG",0,-1.76614335947494,0.746,0.991,0
"FOXP1",0,-1.52216977749185,0.801,0.993,0
"MAP4",0,-1.32979088040864,0.846,0.992,0
"RBM6",1.49511126683136e-306,-1.69450135078304,0.577,0.936,3.90687525135703e-302
"RPS27L",2.69101732579486e-304,1.22259411313609,0.999,0.964,7.03189737403454e-300
"PRICKLE2",1.09170947003345e-284,-2.02020864358599,0.448,0.885,2.8527460161444e-280
"SUCLG2",6.70718167706806e-277,-1.57224935401501,0.589,0.927,1.75265364403465e-272
"SETD5",1.71245933263715e-273,-1.50610387224019,0.606,0.934,4.47482748211415e-269
"UBE2E2",4.70403428897922e-269,-1.5567651909455,0.654,0.95,1.22921120005316e-264
"LRRFIP2",9.50140486376238e-265,-1.41801455460082,0.674,0.947,2.48281210494975e-260
"TBC1D5",1.36819937499201e-249,-1.44174397989019,0.669,0.948,3.57524178679163e-245
"CACNA2D3",2.01383608247129e-241,-1.59373264956235,0.576,0.925,5.26235506710574e-237
"GOLGA4",2.24870274337848e-239,-1.13685427095149,0.792,0.972,5.87608513872229e-235
"SLMAP",1.09399048610225e-237,-1.50225805306357,0.561,0.904,2.8587065392338e-233
"SETD2",1.91638436254523e-236,-1.52635050757328,0.539,0.896,5.00770397776694e-232
"RPS19",7.69448185666117e-229,0.507721241883743,1,0.998,2.01064505396413e-224
"MAGI1",2.79476767118472e-226,-1.77757650896774,0.445,0.852,7.30300740157279e-222
"ATG7",9.04626243102382e-216,-1.53256267552888,0.518,0.88,2.36387883585084e-211
"GDF15",1.88207454210616e-212,1.93081943215436,0.792,0.406,4.9180489859776e-208
"TRAK1",4.68421916033538e-212,-1.77582870538199,0.381,0.803,1.22403330878724e-207
"BAX",2.97566559633637e-210,0.803535925843968,0.997,0.975,7.77571176978656e-206
"THRB",3.33513085471659e-209,-1.64916992575269,0.502,0.883,8.71503043645992e-205
"ZNF385D",1.93542492740164e-208,-1.94325185058145,0.35,0.785,5.05745887779322e-204
"MT-ND6",1.09035151887299e-199,-1.60482228331685,0.722,0.94,2.84919755396701e-195
"TKT",2.89571115331575e-197,-0.81493209554711,0.962,0.997,7.56678281472938e-193
"STAC",6.85847730758392e-194,-1.88308901929218,0.395,0.79,1.79218870524475e-189
"FHIT",3.74854802578191e-192,-1.5817724200307,0.552,0.876,9.7953308461707e-188
"MITF",1.39524188296596e-191,-1.41096990834838,0.57,0.882,3.64590656437835e-187
"PBRM1",1.77155558178049e-190,-1.26228118112534,0.6,0.892,4.62925189075059e-186
"RPS12",5.49287860550133e-190,0.445096211113506,1,0.998,1.43534410840355e-185
"MT-ATP8",1.31827966101604e-185,-1.36093679861863,0.715,0.935,3.44479658220102e-181
"VGLL4",8.00877686739807e-184,-1.31273850004506,0.602,0.885,2.09277348321979e-179
"FLNB",9.41116165210946e-178,-1.25690560799809,0.605,0.898,2.45923065131272e-173
"ANO10",5.76918834054015e-177,-1.25078105865269,0.608,0.898,1.50754660526655e-172
"HINT1",1.11447778558489e-175,0.420516782572961,0.999,0.996,2.91224190151188e-171
"PDCD6IP",6.09506546191601e-174,-1.24884108169554,0.551,0.867,1.59270155585327e-169
"POMP",7.87162069420187e-168,0.527520809969299,0.999,0.994,2.05693320360189e-163
"ADAMTS9",5.51416078970016e-167,-1.81415557842865,0.339,0.731,1.44090535595655e-162
"RPS27A",1.84751738676923e-164,0.405025883775883,1,0.997,4.82774768336668e-160
"CLASP2",1.34589593194917e-163,-1.70415512547339,0.351,0.725,3.51696065977639e-159
"LPP",1.87929238909894e-162,-0.764346576345541,0.967,0.998,4.91077894195443e-158
"CDKN1A",1.9384275398658e-162,1.48514096946956,0.727,0.39,5.06530500442332e-158
"NKTR",2.73313425379984e-162,-1.36401186001857,0.478,0.816,7.14195311860437e-158
"UBE2E1",2.46093345088791e-160,-1.17133137715852,0.65,0.885,6.43066520051519e-156
"SLC6A6",4.90248576543849e-160,-1.46874958340314,0.511,0.849,1.28106855536673e-155
"ANKRD28",5.5280935700291e-159,-1.45238129626989,0.428,0.787,1.4445461307843e-154
"PSMB2",8.90898830337616e-159,0.717787690478627,0.992,0.977,2.32800773355523e-154
"MT-ATP6",2.08055752244724e-157,-1.06437013929149,0.999,1,5.43670486190689e-153
"HMGA1",9.29366872105092e-156,1.24227079665741,0.961,0.874,2.42852857349782e-151
"ULK4",5.59977017132023e-153,-1.64666255245047,0.348,0.73,1.46327594346769e-148
"TOMM7",1.5124317771306e-148,0.597216857535861,0.995,0.985,3.95213547681996e-144
"RAB5IF",6.03887452448274e-148,0.833075667976082,0.986,0.952,1.57801830199259e-143
"ATP6V0E1",2.38005994556296e-147,0.521972111283736,0.999,0.997,6.21933464375057e-143
"TGFBR2",5.05565351799023e-146,-1.12332033521794,0.627,0.884,1.32109282078603e-141
"SOD3",6.63822650481544e-146,1.06536559760966,0.942,0.824,1.73463496797332e-141
"PSD3",2.00053231703396e-145,-0.8269165445108,0.855,0.99,5.22759099764144e-141
